"age","failed_runs","CO2_ppm","CO2_0.025","CO2_0.975","O2_ppm","O2_0.025","O2_0.975"
130,82.84,411.132727697155,189.797403635192,3277.4675108703,19.4054065656244,14.2556074628901,25.2660120495259
120,82.95,363.840630571035,177.277607483132,1715.53770349766,22.0778018013652,16.7208523811449,28.7283394676509
110,82.91,357.526235341359,177.863740562475,1531.00512190152,23.4938232876351,18.0129084923331,29.8624234067112
100,83.15,297.651213761104,167.208598303676,1014.48938080886,24.1367937549646,19.3818255834458,29.6241394838866
90,85.69,225.122286037268,153.840349894807,582.954749249354,24.2072178303724,19.932364119333,28.6980581897323
80,86.03,220.334398146511,154.619637995574,472.75338139623,23.5150689069218,19.8545710950106,27.8386298954825
70,84.95,229.842340540798,155.431642323656,537.21691014617,23.5190920500377,20.2248897414486,27.7732691404401
60,83.59,264.119837314809,163.987404595633,679.405968738674,22.5766134065259,17.5121533601652,27.536814147229
50,83.18,292.345663924657,167.885841170132,846.505828321612,22.2373342522214,17.6546163816465,27.0586040451836
40,83.1,243.166696526339,163.848967467526,411.575088314164,24.742296586677,20.9922011030732,28.6534901502966
30,83.57,230.891643394703,159.283001857598,389.89652324392,25.0561853622272,21.9975127691479,28.3486617952602
20,82.99,248.517986644582,169.456517757118,469.449227015237,24.015188462241,20.3478509474969,27.373522909786
10,82.7,267.703293361288,179.165729450736,479.045369534139,22.5343808957829,18.9177174065042,25.5354378370674
0,82.56,252.409267174764,205.182880226585,297.353159248633,21.0445538071377,19.1295990643893,22.8670876443951
